Output Name,Data Type,Description
tb_profiler_dr_type,String,"Drug resistance type predicted by TB-Profiler (sensitive, Pre-MDR, MDR, Pre-XDR, XDR)"
tb_profiler_main_lineage,String,Lineage predicted by TB-Profiler
tb_profiler_num_dr_variants,String,Number of drug resistance variants detected by TB-Profiler
tb_profiler_num_other_variants,String,Number of non-drug resistance variants detected by TB-Profiler
tb_profiler_report_csv,File,TB-Profiler output in csv format
tb_profiler_report_tsv,File,TB-Profiler output in tsv format
tb_profiler_resistance_genes,String,List of resistance genes detected by TB-Profiler
tb_profiler_sub_lineage,String,Sub-lineage predicted by TB-Profiler
tb_profiler_version,String,Version of TB-Profiler used for analysis https://github.com/jodyphelan/TBProfiler/ https://jodyphelan.gitbook.io/tb-profiler/
tb_profiler_wf_analysis_date,String,Date of analysis
tb_profiler_wf_version,String,Version of PHBG respository used for analysis
tb_profiler_output_bai,File,Index file generated by mapping sequencing reads to reference genome 
tb_profiler_output_bam,File,Alignment file in BAM format generated by mapping sequencing reads to reference genome 
