Output Name,Data Type,Description
amrfinderplus_all_report,File,Tsv file detailing all antimicrobial resistance, stress, and virulence gene detection data from AMRFinderPlus 
amrfinderplus_amr_genes,String,List of all antimicrobial resistance, stress, and virulence genes detected in analyzed sample
amrfinderplus_amr_report,File,Tsv file detailing antimicrobial resistance gene detection data from AMRFinderPlus 
amrfinderplus_db_verison,String,Version of AMRFinderPlus database used for analysis
amrfinderplus_stress_genes,String,List of stress genes detected in analyzed sample
amrfinderplus_stress_report,File,Tsv file detailing stress gene detection data from AMRFinderPlus
amrfinderplus_version,String,Version of AMRFinderPlus used for analysis
amrfinderplus_virulence_genes,String,List of virulence genes detected in analyzed sample
amrfinderplus_virulence_report,File,Tsv file detailing virulence gene detection data from AMRFinderPlus
assembly_fasta,File,De novo-assembled genome in FASTA format (contigs.fasta from shovill task)
bbduk_docker,String,Docker image used to run BBDuk
cg_pipeline_docker,String,"Docker image for running cg_pipeline task"
cg_pipeline_report,File,"Tsv file detailing sequencing read quality metrics including average read length, number of reads, and estimated genome coverage"
clean_read_screen,String,String indicating whether sample passed or failed raw read quality check
contigs_gfa,File,Assembly graph generated by spades in shovill task 
ectyper_predicted_serotype,String,Serotype predicted by ectyper
ectyper_results,File,File detailing evidence supporting the serotype predicted by ectyper
ectyper_version,String,Version of ectyper used for in silico prediction of Escherichia and Shigella serotypes
est_coverage,Float,Estimated coverage predicted by cg_pipeline (number of bases/estimated genome length); See https://github.com/lskatz/CG-Pipeline
fastq_scan_version,String,Version of fastq_scan used for read QC analysis
gambit_closest_genomes,File,Csv file listing genomes in the gambit database that are most similar to the analyzed sample 
gambit_db_version,String,Version of database used for taxonomic identification of genome assemblies by gambit
gambit_docker,String,Docker image for taxonomic indentification of genome assemblies by gambit
gambit_predicted_taxon,String,Taxon predicted for analyzed sample
gambit_predicted_taxon_rank,String,Rank of taxonomy predicted for the sample (genus or species)
gambit_report,File,Gambit results in a machine-readable format meant to be used in pipelines
gambit_version,String,Version of gambit used for taxonomic identification of genome assemblies
genome_length,Int,Genome length estimated by Quast from assembly 
